slug,title,category,verdict,body_topic,confidence
depression-immigrants-refugees-displacement,Crisis Resources and Support,"Depression, Grief & Loss",MISMATCH,depression in immigrants and refugees,0.99
supporting-someone-after-psychiatric-hospitalization,Trauma-Informed Systems,"Therapy, Treatment & Mental Health Navigation",MISMATCH,supporting loved one after psychiatric discharge,0.97
overcoming-barriers-socialization-mobility-hearing-transportation,Falls and Mental Health,"Aging, Dementia & Late-Life Mental Health",MISMATCH,barriers to socialization in older adults,0.98
military-ptsd-combat-trauma-challenges-coming-home,Compassion Fatigue,Trauma-Informed Education & Healing,MISMATCH,combat PTSD in military veterans,0.99
why-social-anxiety-makes-you-avoid-eye-contact-phone-calls-and-small-talk,Travel Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,social anxiety avoidance behaviors,0.99
nutrition-depression-evidence-food-mood,Depression After a Breakup,"Depression, Grief & Loss",MISMATCH,nutrition and depression research,0.99
mens-support-groups-why-peer-connection-changes-everything,Sports and Masculine Identity,Men's Mental Health,MISMATCH,men's support groups and male loneliness,0.98
online-reviews-ratings-social-anxiety,Creating vs Consuming Online,"Digital Life, Social Media & Modern Stressors",MISMATCH,online ratings and review anxiety,0.98
building-social-support-network-late-life,Reminiscence Therapy,"Aging, Dementia & Late-Life Mental Health",MISMATCH,rebuilding social network in late life,0.99
self-efficacy-believing-makes-possible,How to Stop Abandoning Yourself,"Self-Worth, Confidence & Identity",MISMATCH,self-efficacy theory (Bandura),0.98
trauma-prevalence-how-common-traumatic-experiences,The Freeze Response,Trauma-Informed Education & Healing,MISMATCH,how common traumatic experiences are,0.99
from-acquaintance-to-close-friend-deepen-connections,The Gift of Solitude,"Loneliness, Social Connection & Belonging",MISMATCH,deepening acquaintances into close friends,0.99
how-to-give-feedback-without-triggering-defensiveness,How Your Childhood Attachment Shapes Adult Relationships,Relationships & Communication,MISMATCH,how to give feedback effectively,0.99
selective-mutism-in-adults-when-anxiety-steals-your-voice,Phone and Communication Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,selective mutism in adults,0.97
children-of-immigrants-growing-up-between-two-worlds,Suicide Across Cultures,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,children of immigrants dual culture challenges,0.99
evening-wind-down-routines-sleep-anxiety,Temptation Bundling,"Habits, Motivation & Behavior Change",MISMATCH,evening wind-down routines for sleep,0.99
cognitive-reappraisal-change-thoughts-feelings,Cognitive Reappraisal: How Changing Your Thoughts Can Change Your Feelings,Emotional Regulation & Self-Awareness,MISMATCH,emotion regulation strategies broadly,0.82
loneliness-in-children-adolescents-young-people-disconnected,How to Make Friends as an Adult,"Loneliness, Social Connection & Belonging",MISMATCH,loneliness in children and adolescents,0.99
sustainable-self-care-routine-not-face-mask,The Habit of Exercise,"Habits, Motivation & Behavior Change",MISMATCH,"sustainable self-care (sleep, food, movement)",0.97
how-anxiety-affects-your-relationships-and-what-to-do-about-it,Workplace Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,how anxiety affects relationships,0.97
act-for-anxiety-acceptance-and-commitment-therapy-explained,Magical Thinking and Anxiety,"Anxiety, Stress & Overwhelm",MISMATCH,ACT for anxiety therapy explained,0.98
inflammatory-bowel-disease-and-mental-health-the-gut-brain-axis-in-action,Pilgrimage,"Chronic Illness, Pain & Medical Psychology",MISMATCH,IBD and gut-brain axis,0.99
supporting-someone-with-depression-guide,CBT for Depression,"Depression, Grief & Loss",MISMATCH,how to support someone with depression,0.98
complementary-approaches-to-chronic-illness-what-helps-and-whats-hype,Existential Crisis,"Chronic Illness, Pain & Medical Psychology",MISMATCH,complementary approaches to chronic illness,0.99
lunch-break-recharge,What Is Burnout,"Work, Productivity & Burnout",MISMATCH,lunch break as recovery opportunity,0.98
should-child-see-therapist-when-seek-professional-help,Moving House and Mental Health,Relationships & Communication,MISMATCH,when to get child therapy,0.99
am-i-burned-out-or-just-tired-how-to-tell-the-difference,Preventing Burnout Before It Starts,"Anxiety, Stress & Overwhelm",MISMATCH,burnout vs. fatigue how to distinguish,0.97
work-and-purpose-meaningful-work-mental-health,The Psychology of Deadlines,"Work, Productivity & Burnout",MISMATCH,meaningful work and mental health benefits,0.99
myth-men-dont-get-eating-disorders,Feminist Therapy,Men's Mental Health,MISMATCH,myth men don't get eating disorders,0.99
how-to-support-someone-who-isnt-ready-to-change,Designing Your Life,"Habits, Motivation & Behavior Change",MISMATCH,supporting someone not ready to change,0.99
intrinsic-vs-extrinsic-motivation-why-source-matters,Motivation Is Unreliable,"Habits, Motivation & Behavior Change",MISMATCH,intrinsic vs extrinsic motivation,0.96
why-two-people-same-event-affected-differently,Developmental Trauma,Trauma-Informed Education & Healing,MISMATCH,why trauma responses vary between people,0.9
vagus-nerve-bodys-built-in-calm-down-system,The Vagus Nerve and Emotional Regulation,Emotional Regulation & Self-Awareness,MISMATCH,gut-brain axis and microbiome,0.85
who-definition-burnout-what-it-is-and-isnt,Why You Procrastinate at Work,"Work, Productivity & Burnout",MISMATCH,WHO definition and dimensions of burnout,0.99
asylum-seekers-psychological-distress-mental-health-crisis-borders,Dance and Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,asylum seekers mental health crisis,0.99
therapeutic-relationship-why-bond-with-therapist-matters-most,Psychedelic-Assisted Therapy,"Therapy, Treatment & Mental Health Navigation",MISMATCH,therapeutic alliance and therapist bond,0.99
men-and-cooking-how-kitchen-skills-build-emotional-competence-and-community,Men's Groups,Men's Mental Health,MISMATCH,cooking as mental health intervention for men,0.98
emotional-contagion-why-other-peoples-moods-affect-yours,When Emotional Intelligence Is Used Manipulatively,Emotional Regulation & Self-Awareness,MISMATCH,emotional contagion catching others' emotions,0.99
late-life-depression-recognition-and-treatment-approaches,Frontotemporal Dementia,"Aging, Dementia & Late-Life Mental Health",MISMATCH,late-life depression recognition and treatment,0.99
social-connection-when-you-want-to-withdraw-starting-small,The Grief of Infertility,"Depression, Grief & Loss",MISMATCH,social connection combating depression withdrawal,0.99
parasocial-relationships-one-sided-connection,Cancel Culture,"Digital Life, Social Media & Modern Stressors",MISMATCH,parasocial relationships with celebrities,0.99
why-men-dont-seek-help-masculinity-stigma,LGBTQ+ Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,why men avoid mental health help,0.99
emotional-eating-why-you-eat-when-not-hungry,Social Habits,"Habits, Motivation & Behavior Change",MISMATCH,emotional eating and food as mood regulation,0.99
barbershop-therapy-meeting-men-where-they-already-gather,Gender and the Workplace,Men's Mental Health,MISMATCH,barbershop mental health outreach for men,0.99
when-love-isnt-enough-time-to-leave,How to Rebuild Trust After It Has Been Broken,Relationships & Communication,MISMATCH,when love isn't enough to stay,0.99
night-time-screen-use-disrupts-sleep,Online Communities,"Digital Life, Social Media & Modern Stressors",MISMATCH,nighttime screen use disrupting sleep,0.99
body-dysmorphic-disorder,The Spectrum Model of Mental Health,Understanding Mental Health Conditions,MISMATCH,body dysmorphic disorder symptoms and treatment,0.99
building-sustainable-productivity-habits-without-burning-out,The Link Between Control and Burnout,"Work, Productivity & Burnout",MISMATCH,sustainable productivity habits avoiding burnout,0.9
crisis-services-what-happens-call-988-go-to-er,Peer Support in Treatment,"Therapy, Treatment & Mental Health Navigation",MISMATCH,crisis services 988 and emergency options,0.99
create-trauma-sensitive-spaces-practical-guide,Trauma and Justice,Trauma-Informed Education & Healing,MISMATCH,trauma-sensitive space design principles,0.95
cyclothymia-chronic-mood-swings-without-bipolar,Depression and Relationships,"Depression, Grief & Loss",MISMATCH,cyclothymia chronic mood swings diagnosis,0.99
circadian-rhythms-mood-internal-clock-matters,What Helps Depression,"Depression, Grief & Loss",MISMATCH,circadian rhythms and mood regulation,0.99
stop-negative-self-talk-rewire-internal-monologue,Keystone Habits,"Habits, Motivation & Behavior Change",MISMATCH,negative self-talk rewiring internal monologue,0.99
public-speaking-confidence,How to Build Self-Worth That Lasts,"Self-Worth, Confidence & Identity",MISMATCH,public speaking confidence and fear reduction,0.99
cognitive-behavioral-therapy-for-chronic-pain-rewiring-your-response,Self-Transcendence,"Chronic Illness, Pain & Medical Psychology",MISMATCH,CBT for chronic pain skill building,0.98
depression-physical-health-bidirectional,The Social Withdrawal of Depression,"Depression, Grief & Loss",MISMATCH,depression and physical health bidirectional risk,0.97
relapse-why-setbacks-are-normal-and-how-to-get-back-on-track,Habit and Purpose,"Habits, Motivation & Behavior Change",MISMATCH,relapse and setbacks in behavior change,0.96
digital-detox-retreats-effective-recovery-expensive-gimmick,Digital Grief,"Digital Life, Social Media & Modern Stressors",MISMATCH,digital detox retreats effectiveness research,0.98
ocd-subtypes,Trauma and Its Diagnoses,Understanding Mental Health Conditions,MISMATCH,OCD subtypes contamination harm symmetry,0.99
ace-study-childhood-adversity-adult-health,Complex Trauma,Trauma-Informed Education & Healing,MISMATCH,ACE study adverse childhood experiences health,0.97
young-men-and-social-media-comparison-radicalization-and-identity,Aging and Gender,Men's Mental Health,MISMATCH,young men social media radicalization harms,0.99
advocacy-and-assertiveness-in-healthcare-speaking-up-for-yourself,Death Anxiety,"Chronic Illness, Pain & Medical Psychology",MISMATCH,patient self-advocacy in medical settings,0.99
mood-disorders-and-creativity-the-complicated-relationship,Autism Spectrum Disorder,Understanding Mental Health Conditions,MISMATCH,bipolar disorder creativity artists research,0.99
return-to-work-after-serious-illness-psychological-readjustment,Finding Your Why,"Chronic Illness, Pain & Medical Psychology",MISMATCH,returning to work after serious illness,0.99
resilience-after-trauma-protective-factors,Building Trauma-Resilient Communities,Trauma-Informed Education & Healing,MISMATCH,individual resilience after trauma protective factors,0.92
job-insecurity-mental-health,Deep Work vs Shallow Work,"Work, Productivity & Burnout",MISMATCH,job insecurity mental health anxiety depression,0.99
anticipatory-grief,Grief After Suicide Loss,"Depression, Grief & Loss",MISMATCH,anticipatory grief before expected loss,0.99
challenging-the-provider-mandate-redefining-masculinity-for-mental-health,Gender and Community,Men's Mental Health,MISMATCH,provider mandate masculinity mental health men,0.98
conflict-styles-compete-avoid-accommodate-compromise-collaborate,Criticism vs Complaint,Relationships & Communication,MISMATCH,five conflict styles Thomas-Kilmann model,0.99
breaking-the-pattern-how-to-build-new-emotional-responses,How to Use Opposite Action,Emotional Regulation & Self-Awareness,MISMATCH,breaking emotional patterns neuroplasticity new responses,0.95
ptsd-vs-acute-stress-disorder-understanding-timeline,Resilience After Trauma,Trauma-Informed Education & Healing,MISMATCH,PTSD vs acute stress disorder timeline,0.98
fibromyalgia-and-mental-health-the-condition-doctors-struggled-to-believe,Contemplative Practices,"Chronic Illness, Pain & Medical Psychology",MISMATCH,fibromyalgia chronic pain mental health stigma,0.99
ocd-children,Perinatal Mental Health Conditions,Understanding Mental Health Conditions,MISMATCH,OCD in children onset family treatment,0.99
self-awareness-without-self-judgment,Why Self-Reflection Feels Hard,Emotional Regulation & Self-Awareness,MISMATCH,self-compassion vs self-criticism awareness,0.92
delayed-gratification-marshmallow-test-actually-proved,The Habit of Rest,"Habits, Motivation & Behavior Change",MISMATCH,marshmallow test delayed gratification research,0.99
bullying-mental-health-supporting-child-social-cruelty,The Psychology of Home,Relationships & Communication,MISMATCH,bullying children mental health impact,0.99
maintenance-how-to-keep-going-when-novelty-wears-off,When Motivation Meets Discipline,"Habits, Motivation & Behavior Change",MISMATCH,maintenance stage sustained behavior change,0.95
emotional-intimacy-build-closeness,Loneliness vs Solitude,Relationships & Communication,MISMATCH,building emotional intimacy in relationships,0.98
long-distance-relationships-strategies,Friendship Grief,Relationships & Communication,MISMATCH,long-distance relationships strategies success,0.99
what-is-intergenerational-trauma-how-pain-passes-down,Resilience in Childhood,Relationships & Communication,MISMATCH,intergenerational trauma transmission families,0.99
social-isolation-and-loneliness-in-older-adults-the-hidden-epidemic,Lewy Body Dementia,"Aging, Dementia & Late-Life Mental Health",MISMATCH,social isolation loneliness older adults epidemic,0.99
bipolar-depression-vs-unipolar,Postpartum Depression,"Depression, Grief & Loss",MISMATCH,bipolar depression vs unipolar depression treatment,0.99
teaching-children-digital-literacy-raising-healthy-digital-citizens,Boundaries in Online Spaces,"Digital Life, Social Media & Modern Stressors",MISMATCH,digital literacy for children,0.97
chronic-illness-and-body-image-when-your-body-doesnt-look-or-function-as-expected,Meaning at Work,"Chronic Illness, Pain & Medical Psychology",MISMATCH,chronic illness and body image distress,0.99
when-someone-doesnt-respect-boundaries-what-to-do-next,Limits With Family,Relationships & Communication,MISMATCH,enforcing violated boundaries escalation strategies,0.92
habit-tracking-apps-journals,The Two-Minute Rule,"Habits, Motivation & Behavior Change",MISMATCH,habit tracking apps and journals,0.98
bipolar-ii-disorder-hypomania-depression-diagnostic-challenge,Borderline Personality Disorder,Understanding Mental Health Conditions,MISMATCH,Bipolar II hypomania and depression,0.99
how-to-say-no-without-guilt-scripts-strategies,How to Recognize When Your Limits Have Been Crossed,Relationships & Communication,MISMATCH,how to say no without guilt,0.96
intergenerational-programs-relationships-mental-health,Medication in Older Adults,"Aging, Dementia & Late-Life Mental Health",MISMATCH,intergenerational programs old and young,0.99
12-coping-strategies-for-anxiety-that-research-actually-supports,How to Stop Seeking Constant Reassurance,"Anxiety, Stress & Overwhelm",MISMATCH,12 evidence-based anxiety coping strategies,0.98
imposter-syndrome-in-academia-hidden-crisis-students-researchers,Confidence in Relationships,"Self-Worth, Confidence & Identity",MISMATCH,imposter syndrome in academia and students,0.99
overprotective-parenting-when-keeping-kids-safe-prevents-them-from-growing,How to Talk to Children About Mental Health,Relationships & Communication,MISMATCH,overprotective helicopter parenting effects,0.99
silent-treatment-harmful-alternatives,Contempt,Relationships & Communication,MISMATCH,silent treatment as relationship abuse,0.97
replacing-bad-habit-substitution-vs-elimination,Exercise Habits,"Habits, Motivation & Behavior Change",MISMATCH,habit substitution vs elimination strategy,0.97
spectrum-of-mood-disorders-how-they-relate-and-differ,ADHD,Understanding Mental Health Conditions,MISMATCH,mood disorder spectrum depression and mania,0.99
the-long-shadow-of-emotional-neglect-what-happens-when-feelings-arent-validated,How Parents Unknowingly Pass On Anxiety,Relationships & Communication,MISMATCH,childhood emotional neglect long-term effects,0.95
hypervigilance-brain-wont-stop-scanning-danger,EMDR,Trauma-Informed Education & Healing,MISMATCH,hypervigilance PTSD threat detection,0.99
ageism-social-exclusion-mental-health-impact,End-of-Life Planning,"Aging, Dementia & Late-Life Mental Health",MISMATCH,ageism stereotyping and social exclusion,0.99
triangulation-when-two-people-use-a-third-to-manage-conflict,Sibling Relationships,Relationships & Communication,MISMATCH,triangulation in family conflict dynamics,0.99
protect-mental-health-difficult-relationship,How Betrayal Affects the Brain,Relationships & Communication,MISMATCH,surviving difficult relationships mentally,0.97
pain-and-sleep-the-vicious-cycle-and-how-to-break-it,Faith and Mental Health,"Chronic Illness, Pain & Medical Psychology",MISMATCH,chronic pain and sleep cycle,0.99
panic-disorder-when-panic-attacks-become-a-pattern,Nutrition and Stress,"Anxiety, Stress & Overwhelm",MISMATCH,panic disorder diagnosis and treatment,0.99
stress-inoculation-how-controlled-exposure-builds-resilience,Rest That Actually Restores,"Anxiety, Stress & Overwhelm",MISMATCH,stress inoculation builds psychological resilience,0.99
mindfulness-based-cognitive-therapy-for-recurrent-medical-conditions,Mindful Compassion,"Chronic Illness, Pain & Medical Psychology",MISMATCH,MBCT for recurrent medical conditions,0.97
exercise-addiction-when-movement-becomes-body-image-weapon,When Motivation Disappears,"Self-Worth, Confidence & Identity",MISMATCH,compulsive exercise addiction and body image,0.99
right-to-disconnect-boundaries-technology-human-need,AI and Human Connection,"Digital Life, Social Media & Modern Stressors",MISMATCH,right to disconnect from work communications,0.99
shopping-addiction-buying-as-coping-mechanism,Building the Reading Habit,"Habits, Motivation & Behavior Change",MISMATCH,compulsive buying disorder and shopping addiction,0.99
aging-body-image-navigating-physical-changes-self-compassion,Intrinsic vs Extrinsic Motivation,"Self-Worth, Confidence & Identity",MISMATCH,aging body image and ageism,0.99
starting-new-job-hidden-anxiety-new-beginnings,Work-Life Balance,"Work, Productivity & Burnout",MISMATCH,anxiety and adjustment starting new job,0.99
what-is-self-control-brain-manages-impulses,Nutrition Habits,"Habits, Motivation & Behavior Change",MISMATCH,self-control and brain impulse management,0.99
implementation-intentions-if-then-strategy-sticking-to-plans,Behavior Change and Identity,"Habits, Motivation & Behavior Change",MISMATCH,implementation intentions if-then goal planning,0.97
mental-health-impact-constant-pandemic-news,Parasocial Relationships,"Digital Life, Social Media & Modern Stressors",MISMATCH,pandemic news harming mental health,0.99
interpersonal-therapy-ipt-healing-through-relationship-patterns,Dialectical Behaviour Therapy,"Therapy, Treatment & Mental Health Navigation",MISMATCH,interpersonal therapy IPT for depression,0.99
helping-children-develop-healthy-body-image,How to Reconnect With What Matters,"Self-Worth, Confidence & Identity",MISMATCH,children developing healthy body image,0.99
community-based-mental-health-non-western-models-center-collective,"War, Conflict, and Mental Health","Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,Ubuntu and community-based mental health models,0.97
parentification-when-children-become-caregivers-too-soon,Authoritative vs Authoritarian Parenting,Relationships & Communication,MISMATCH,parentification role reversal in families,0.99
depression-toolkit-daily-practices-research-supports,How Loss Changes Relationships,"Depression, Grief & Loss",MISMATCH,evidence-based daily practices for depression,0.99
setting-boundaries-with-boss-scripts,When Work Becomes Your Identity,"Work, Productivity & Burnout",MISMATCH,scripts for setting limits with boss,0.99
family-role-mental-health-recovery-boundaries-support-self-care,Mental Health Advocacy,"Therapy, Treatment & Mental Health Navigation",MISMATCH,family support in recovery with boundaries,0.92
male-body-image-issues-overlooked-crisis,The Psychology of Perfectionism,"Self-Worth, Confidence & Identity",MISMATCH,male body image and muscle dysmorphia,0.98
mental-health-multiracial-multicultural-navigating-multiple-identities,Urban vs Rural Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,multiracial multicultural identity mental health,0.99
self-compassion-break-3-minute-practice,What Confidence Actually Is,"Self-Worth, Confidence & Identity",MISMATCH,Kristin Neff self-compassion break practice,0.99
grief-bereavement-and-complicated-mourning-in-later-life,The 12 Modifiable Risk Factors for Dementia,"Aging, Dementia & Late-Life Mental Health",MISMATCH,grief and bereavement in later life,0.99
men-and-meditation-overcoming-the-perception-that-mindfulness-is-soft,Gender and Loneliness,Men's Mental Health,MISMATCH,men and meditation overcoming stigma,0.99
the-emotional-stages-of-a-chronic-illness-diagnosis,The Science of Meaning,"Chronic Illness, Pain & Medical Psychology",MISMATCH,emotional stages after chronic illness diagnosis,0.99
body-language-confidence-psychology,The Role of Gratitude in Self-Worth,"Self-Worth, Confidence & Identity",MISMATCH,body language posture and confidence,0.99
undocumented-anxious-mental-health-in-shadows,Social Media and Culture,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,undocumented immigrants mental health stress,0.99
self-determination-theory-three-needs,The Psychology of Willpower,"Habits, Motivation & Behavior Change",MISMATCH,self-determination theory three psychological needs,0.98
men-of-color-and-mental-health-intersecting-stigmas,The Gender Pay Gap and Mental Health,Men's Mental Health,MISMATCH,men of color mental health intersecting stigmas,0.99
break-procrastination-habit-root-cause,The Science of Self-Discipline,"Habits, Motivation & Behavior Change",MISMATCH,procrastination emotional regulation root causes,0.98
traditional-healing-evidence-based-practice-can-they-work-together,Community Mental Health,"Cultural Perspectives, Inclusion & Global Wellness",MISMATCH,traditional healing and evidence-based practice,0.97
friendship-vulnerability-opening-up-builds-closer-bonds,Love and Attachment,"Loneliness, Social Connection & Belonging",MISMATCH,vulnerability and opening up in friendship,0.98
workplace-mental-health-programs-designed-for-male-dominated-industries,Gender and Body Pain,Men's Mental Health,MISMATCH,mental health programs in male-dominated industries,0.99
co-parenting-after-divorce-childrens-mental-health-first,Family Estrangement,Relationships & Communication,MISMATCH,co-parenting after divorce children's wellbeing,0.98
grief-after-suicide,Pet Loss,"Depression, Grief & Loss",MISMATCH,grief after losing someone to suicide,0.99
contemplation-psychology-of-i-know-i-should-but,The Role of Accountability,"Habits, Motivation & Behavior Change",MISMATCH,contemplation stage ambivalence behavior change,0.97
codependency-helping-becomes-harmful,Intimacy Without Losing Yourself,Relationships & Communication,MISMATCH,codependency patterns and self-neglect,0.97
productivity-paradox-technology-less-efficient,Doomscrolling,"Digital Life, Social Media & Modern Stressors",MISMATCH,productivity paradox with technology tools,0.98
depression-with-psychotic-features,Exercise and Depression,"Depression, Grief & Loss",MISMATCH,psychotic depression symptoms and treatment,0.99
